glacier_id;utm_zone;utm_east3;utm_north4;altitude5;location_description;location_id;stake_no;altitude;utm_east;utm_north;balance_winter;balance_summer;balance_netto;dt_prev_year_min_date;dt_curr_year_max_date;dt_curr_year_min_date;stake_remark;flag_correction
3133;32;351000;6658700;1500;;BON5;BON5;1498;350946;6658713;2.35;-2.93;-0.58;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;;
3133;32;350800;6660500;1330;;BON50;BON50;1330;350839;6660456;;-3;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;350800;6660500;1330;;BON50;BON50;1288;350637;6660368;2.07;-5;-2.93;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;;
3133;32;350800;6660500;1330;;BON50;BON50;1277;350671;6660466;1.68;-4.26;-2.59;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350800;6660500;1330;;BON50;BON50;1268;350724;6660621;1.77;-4.25;-2.48;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 44;
3133;32;351600;6659250;1490;;BON6;BON6;1493;351604;6659265;2;-2.46;-0.46;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351600;6659250;1490;;BON6;BON6;1493;351604;6659265;2.96;-2.55;0.41;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 82;
3133;32;351600;6659250;1490;;BON6;BON6;1498;351619;6659234;3.33;-1.64;1.69;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;Nå stakenr. 82;
3133;32;350500;6660300;1300;;BON60;BON60;1298;350471;6660334;1.63;-4;-2.37;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;;
3133;32;350500;6660300;1300;;BON60;BON60;1296;350461;6660344;1.75;-3.68;-1.93;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;350150;6656400;1620;;BON7;BON7;1622;350161;6656429;3.34;-2.09;1.25;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 118;
3133;32;350150;6656400;1620;;BON7;BON7;1622;350220;6656440;4.26;-0.73;3.53;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;Nå stakenr. 118;
3133;32;351200;6660000;1400;;BON70;BON70;1401;351029;6659729;;-3.25;;;11.05.1977 00:00;20.09.1977 00:00;;
3133;32;351200;6660000;1400;;BON70;BON70;1410;351165;6660005;1.22;-3.66;-2.44;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;;
3133;32;351200;6660000;1400;;BON70;BON70;1425;351284;6660039;1.38;-3.52;-2.15;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351200;6660000;1400;;BON70;BON70;1398;350955;6659686;;-3.3;;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 75;
3133;32;351200;6660000;1400;;BON70;BON70;1397;350994;6659735;2.22;-4.14;-1.92;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;Nå stakenr. 75;
3133;32;351600;6660300;1440;;BON72;BON72;1443;351610;6660267;2.35;-3.11;-0.76;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;;
3133;32;351600;6660300;1440;;BON72;BON72;1450;351652;6660296;2.34;-3.88;-1.54;24.11.1980 00:00;30.04.1981 00:00;27.08.1981 00:00;;
3133;32;351700;6657200;1620;;BON8;BON8;1620;351674;6657223;2.8;-2;0.8;28.08.1978 00:00;09.05.1979 00:00;01.10.1979 00:00;;
3133;32;351700;6657200;1620;;BON8;BON8;1620;351674;6657223;2.93;-1.99;0.94;01.10.1979 00:00;24.04.1980 00:00;24.11.1980 00:00;Nå stakenr. 114;
3133;32;350400;6659500;1435;;BON80;BON80;1436;350366;6659462;2.48;-4.1;-1.62;20.09.1977 00:00;08.05.1978 00:00;28.08.1978 00:00;;
